Company_ID,Company_name,Industry,number_of_employees
1,Aashman Foundation,Not Available,"1,001-5,000 employees"
2,Abbott,Hospitals and Health Care,"10,001+ employees "
3,Airbov Solutions,IT Services and IT Consulting,11-50 employees 
4,Airbus,Aviation and Aerospace Component Manufacturing,"10,001+ employees "
5,Algoscale,Software Development,51-200 employees 
6,Al-Hamd Haj & Umrah Tours,Not Available,201-500 employees
7,Alliance Recruitment Agency,Human Resources Services,51-200 employees 
8,Alpha Maier Private Limited,Not Available,25-50 employees
9,Ambe International-Recruitment and Mobility,Staffing and Recruiting,11-50 employees 
10,Arbolus,Information Services,51-200 employees 
11,ARC Worldwide Limited,Not Available,51-200 employees
12,ASA,Not Available,"501-1,000 employees"
13,Assam down town University,Not Available,"1,001-5,000 employees"
14,Avendus,Financial Services,201-500 employees 
15,Aviation Indeedï¿,Not Available,11-50 employees
16,Bajaj Auto Ltd,Manufacturing,"10,001+ employees "
17,Belhem India,Human Resources Services,11-50 employees 
18,Bhatia Alloy Forgings Private Limited,Not Available,201-500 employees
19,bigbasket.com,Not Available,"10,001+ employees"
20,Bizgurukul,Not Available,51-200 employees
21,Boffo Consultancy Services,Not Available,NAHAR SINGH is hiring for this job
22,Bombay Sunset,Not Available,11-50 employees
23,BookMyShow,Entertainment Providers,"1,001-5,000 employees "
24,Boon,Not Available,NA
25,British High Commission in India,Not Available,"501-1,000 employees"
26,BYJU'S,"10,001+ employees",S
27,CADILA HEALTHCARE LTD,Pharmaceutical Manufacturing,201-500 employees 
28,Careers360,Not Available,201-500 employees
29,CARS24 Australia,Motor Vehicle Manufacturing,51-200 employees 
30,Cerence Inc.,Software Development,"1,001-5,000 employees "
31,Citi,Financial Services,"10,001+ employees "
32,CityMall,Not Available,201-500 employees
33,Classic Signages Pvt. Ltd.,Not Available,11-50 employees
34,Cocentrus,Human Resources Services,1-10 employees 
35,Coding Ninjas,Not Available,51-200 employees
36,Confidential,Not Available,"10,001+ employees"
37,Conneqt Business Solutions Limited,Outsourcing and Offshoring Consulting,"10,001+ employees "
38,Consultative HR Solutions,Not Available,1-10 employees
39,Corizo,Not Available,51-200 employees
40,Courtyard by Marriott,Hospitality,"10,001+ employees "
41,Crossover,IT Services and IT Consulting,"1,001-5,000 employees "
42,DBS Bank,Banking,"10,001+ employees "
43,Deccancad Engineering Pvt. Ltd.,Not Available,500+ employees
44,Delhi jobs,Not Available,201-500 employees
45,DHINGRA PHARMA," Appliances, Electrical, and Electronics Manufacturing",1-10 employees 
46,DMI Finance Private Limited,Financial Services,"501-1,000 employees "
47,DPT Hub Private Ltd.,Not Available,11-50 employees
48,Dream to Grow,Not Available,1-10 employees
49,Ducat Education,Not Available,"501-1,000 employees"
50,Dunzo," Technology, Information and Internet","5,001-10,000 employees "
51,eduCLaaS,Professional Training and Coaching,51-200 employees 
52,ENGINEERING MAN POWER PLACEMENT.,Not Available,51-100 employees
53,EU Tech Chamber (EUTECH),Not Available,51-200 employees
54,"ExcelGens, Inc.",Not Available,"1,001-5,000 employees"
55,Exotic Learning,Not Available,51-200 employees
56,Farmlokal,Internet Marketplace Platforms,11-50 employees 
57,Faurecia,Motor Vehicle Manufacturing,"10,001+ employees "
58,Feedspot,Not Available,51-200 employees
59,Flipkart," Technology, Information and Internet","10,001+ employees "
60,Forever Living Products India,Not Available,"10,001+ employees"
61,Globner Consulting,Not Available,11-50 employees
62,GoodSpace,Not Available,11-50 employees
63,goSTOPS,Not Available,51-200 employees
64,gpac,Staffing and Recruiting,"501-1,000 employees "
65,HaZZten,Not Available,11-50 employees
66,HDB Financial Services Ltd.,Not Available,"10,001+ employees"
67,Headstrt,Not Available,1-10 employees
68,Hindustan Recruitment,Not Available,11-50 employees
69,HP,Airlines and Aviation,"10,001+ employees "
69,HP,Banking,"10,001+ employees "
69,HP,Financial Services,"1,001-5,000 employees "
69,HP,Financial Services,"10,001+ employees "
69,HP,IT Services and IT Consulting,"10,001+ employees "
