Job_ID,CompanyID,Location,Designation,Details_ID,Company_name,Industry,number_of_employees,Involvement,Level,Total_applicants
1001,155,India,User Experience Athlete,id0311,Ultrahuman,NULL,51-200 employees,Full-time,Entry level,31 applicants
1002,146,India,Online part time work,id0301,The Job Man,Not Available,1-10 employees,Full-time,Entry level,33 applicants
1003,100,"Gurugram, Haryana, India",Receptionist,id0220,NextDoor Global,Not Available,11-50 employees,Full-time,Entry level,15 applicants
1004,54,"Gurugram, Haryana, India",Market Research Executive,id0120,"ExcelGens, Inc.",Not Available,"1,001-5,000 employees",Full-time,Entry level,14 applicants
1005,68,"Delhi, Delhi, India",Customer Service Manager,id0139,Hindustan Recruitment,Not Available,11-50 employees,Full-time,Entry level,26 applicants
1006,114,"Gurugram, Haryana, India",Business Development Associate,id0248,PlanetSpark,Not Available,"1,001-5,000 employees",Full-time,Entry level,23 applicants
1007,9,"Mumbai, Maharashtra, India",All Position's - NAFFCO UAE,id0030,Ambe International-Recruitment and Mobility,Staffing and Recruiting,11-50 employees ,Full-time,Mid-Senior level,38 applicants
1008,156,India,Community Coordinator,id0312,Uplers,Not Available,"1,001-5,000 employees",Full-time,Entry level,27 applicants
1009,42,"Tiruvallur, Tamil Nadu, India",casa officer,id0106,DBS Bank,Banking,"10,001+ employees ",Full-time,Entry level,1 applicant
1010,60,"Delhi, Delhi, India",Urgent Hiring (Online work),id0128,Forever Living Products India,Not Available,"10,001+ employees",Part-time,Entry level,9 applicants
1011,81,"Delhi, India",Team Lead/Sr Executive,id0193,Justdial,Not Available,11-50 employees,Full-time,Entry level,37 applicants
1012,76,"Delhi, India",Specialist,id0179,Invest India,Airlines and Aviation,"10,001+ employees ",Full-time,Mid-Senior level,58 applicants
1013,78,"Vijayawada, Andhra Pradesh, India",Ground Staff,id0183,Jet Airways,Airlines and Aviation,"10,001+ employees ",Full-time,Entry level,14 applicants
1014,89,India,BDA,id0202,MarsDevs,Airlines and Aviation,"10,001+ employees ",Full-time,Entry level,33 applicants
1015,149,"Noida, Uttar Pradesh, India",Social Media Manager,id0304,Tradologie,Not Available,51-200 employees,Full-time,Entry level,5 applicants
1016,17,"Goa, Goa, India",Multiple Positions in Goa,id0040,Belhem India,Human Resources Services,11-50 employees ,Full-time,Entry level,65 applicants
1017,69,"Pune, Maharashtra, India",Intern/Graduate hire,id0140,HP,IT Services and IT Consulting,"10,001+ employees ",Full-time,Entry level,1 applicant
1018,69,"Pune, Maharashtra, India",Intern/Graduate hire,id0141,HP,IT Services and IT Consulting,"10,001+ employees ",Part-time,Entry level,49 applicants
1019,118,"Delhi, Delhi, India",Associate - Gurgaon- Technology Consulting,id0255,PwC India,Business Consulting and Services,"5,001-10,000 employees ",Full-time,Entry level,56 applicants
1020,17,"Goa, India",Multiple Positions in Goa,id0039,Belhem India,Human Resources Services,11-50 employees ,Full-time,Entry level,21 applicants
1021,42,"Delhi, Delhi, India",Relationship Manager,id0105,DBS Bank,Banking,"10,001+ employees ",Full-time,Entry level,1 applicant
1022,37,"Kolkata, West Bengal, India",Urgent vacancy for CCE for WFH,id0076,Conneqt Business Solutions Limited,Outsourcing and Offshoring Consulting,"10,001+ employees ",Full-time,Entry level,8 applicants
1023,13,"Guwahati, Assam, India",Associate/ Assistant Professor of Management,id0034,Assam down town University,Not Available,"1,001-5,000 employees",Full-time,Entry level,18 applicants
1024,31,"Gurgaon, Haryana, India",Tele Relationship Manager,id0067,Citi,Financial Services,"10,001+ employees ",Full-time,Entry level,1 applicant
1025,99,"Ranchi, Jharkhand, India",Event Coordinator,id0219,Next Level Events,Not Available,1-10 employees,Full-time,Entry level,4 applicants
1026,25,"New Delhi, Delhi, India","Programmes and Communications Lead (Science, Innovation and Tech Team)",id0048,British High Commission in India,Not Available,"501-1,000 employees",Full-time,Entry level,69 applicants
1027,35,"Gurugram, Haryana, India",BDA - Lead Generation,id0073,Coding Ninjas,Not Available,51-200 employees,Full-time,Entry level,10 applicants
1028,132,"Gurugram, Haryana, India",Assistant Manager,id0270,SolarArise India Projects Pvt Ltd,Not Available,1-10 employees,Full-time,Entry level,5 applicants
1029,49,"New Delhi, Delhi, India",Education Counselor,id0113,Ducat Education,Not Available,"501-1,000 employees",Full-time,Entry level,12 applicants
1030,7,"Jamnagar, Gujarat, India",Data Entry,id0028,Alliance Recruitment Agency,Human Resources Services,51-200 employees ,Full-time,Entry level,13 applicants
1031,92,"Mumbai, Maharashtra, India",Online Work for Students,id0206,MILLIONAIRE TRACK,Not Available,NA,Part-time,Entry level,46 applicants
1032,78,"Chennai, Tamil Nadu, India",Site Supervisor,id0184,Jet Airways,Airlines and Aviation,"10,001+ employees ",Full-time,Entry level,7 applicants
1033,136,India,SFMC,id0275,"StackNexus Inc, an Inc. 500 company",Not Available,51-200 employees,Contract,Entry level,4 applicants
1034,163,"Kochi, Kerala, India",Wildcraft - Manager - Institution Sales,id0321,Wildcraft India,Manufacturing,"1,001-5,000 employees ",Full-time,Mid-Senior level,5 applicants
