Job_ID,Company_ID,Designation,Location,Details_ID
0,22,User Experience Athlete,India,104
1,70,Online part time work,India,170
2,35,Receptionist,"Gurugram, Haryana, India",79
3,312,Market Research Executive,"Gurugram, Haryana, India",25
4,30,Customer Service Manager,"Delhi, Delhi, India",155
5,169,Business Development Associate,"Gurugram, Haryana, India",166
6,21,All Position's - NAFFCO UAE,"Mumbai, Maharashtra, India",179
7,232,Community Coordinator,India,150
8,296,casa officer,"Tiruvallur, Tamil Nadu, India",66
9,23,Urgent Hiring (Online work),"Delhi, Delhi, India",315
10,15,Team Lead/Sr Executive,"Delhi, India",6
11,125,Specialist,"Delhi, India",306
12,119,Ground Staff,"Vijayawada, Andhra Pradesh, India",175
13,137,BDA,India,118
14,169,Social Media Manager,"Noida, Uttar Pradesh, India",69
15,79,Multiple Positions in Goa,"Goa, Goa, India",309
16,274,Intern/Graduate hire,,42
17,180,Intern/Graduate hire,"Pune, Maharashtra, India",172
18,112,Associate - Gurgaon- Technology Consulting,"Delhi, Delhi, India",111
19,109,Multiple Positions in Goa,"Goa, India",209
20,299,Relationship Manager,"Delhi, Delhi, India",249
21,212,Urgent vacancy for CCE for WFH,"Kolkata, West Bengal, India",31
22,72,Associate/ Assistant Professor of Management,"Guwahati, Assam, India",35
23,140,Tele Relationship Manager,"Gurgaon, Haryana, India",213
24,298,Event Coordinator,"Ranchi, Jharkhand, India",289
25,287,"Programmes and Communications Lead (Science, Innovation and Tech Team)","New Delhi, Delhi, India",167
26,99,BDA - Lead Generation,"Gurugram, Haryana, India",286
27,72,Assistant Manager,"Gurugram, Haryana, India",291
28,159,Education Counselor,"New Delhi, Delhi, India",93
29,181,Data Entry,"Jamnagar, Gujarat, India",310
30,250,Online Work for Students,"Mumbai, Maharashtra, India",74
31,257,Site Supervisor,"Chennai, Tamil Nadu, India",105
32,115,SFMC,India,180
33,166,Wildcraft - Manager - Institution Sales,"Kochi, Kerala, India",102
34,299,Wildcraft - Manager - Institution Sales,"Vishakhapatnam, Andhra Pradesh, India",260
35,200,Lead,"Chennai, Tamil Nadu, India",46
36,216,Project Coordinator,"Pune, Maharashtra, India",49
37,215,Growth Manager,"Hyderabad, Telangana, India",4
38,47,Customer Success (Indonesia/India),"Delhi, Delhi, India",189
39,144,Associate,"Delhi, India",54
40,46,Lead-New Hire Training,"Hyderabad, Telangana, India",113
41,248,Operations Associate C2B,"Gurugram, Haryana, India",294
42,201,Senior Executive-Corporate Sales,"Gurgaon, Haryana, India",6
43,59,Intern/Graduate hire,"Pune, Maharashtra, India",172
44,220,Assistant Manager-Exports,"Bengaluru, Karnataka, India",317
45,223,Business Development Associate,"Delhi, Delhi, India",73
46,197,Assistant Manager,"New Delhi, Delhi, India",237
47,83,Academic Advisor,"Pune, Maharashtra, India",140
48,230,Business Development Associate(Freshers/WalkIn Interviews Only),"Bengaluru, Karnataka, India",221
49,306,Market Representative- Soft Home/Textiles,"Delhi, Delhi, India",49
50,303,Business Associate,"Bengaluru, Karnataka, India",287
51,119,Business Development Management (Institution Sales) Internship in Multiple locations at Monster India,"Hyderabad House, Delhi, India",203
52,304,Associate-Account Management,"Mumbai, Maharashtra, India",163
53,127,Civil Engineer,"Hyderabad, Telangana, India",27
54,308,Data Science Intern,India,5
55,39,Operations Manager C2B,"Gurugram, Haryana, India",53
56,127,Data Science Intern,India,185
57,222,Manager,"Bengaluru, Karnataka, India",243
58,229,Micro Executive,"Ahmedabad, Gujarat, India",279
59,257,Technical Engineer,"Bengaluru, Karnataka, India",316
60,282,Senior Manager - Transitions,"Hyderabad, Telangana, India",69
61,266,Only Students (Freshers),"Jabalpur, Madhya Pradesh, India",44
62,6,Business Development Associate,"Faridabad, Haryana, India",159
63,85,Data Science Intern,India,83
64,158,"Assistant Manager - Hyderabad, TG","Hyderabad, Telangana, India",125
65,172,Drywall Project Manager: $100K-$150K,"Salem, Tamil Nadu, India",0
66,60,General Manager- Diplomatic Relations ( Female Only ),"Delhi, India",107
67,230,Sales Attendant,"New Delhi, Delhi, India",58
68,225,Application Engineer,"Kolkata, West Bengal, India",123
69,312,Intern/Graduate hire,"Pune, Maharashtra, India",6
70,299,Wildcraft - Manager/Executive - Corporate Sales,"Bengaluru, Karnataka, India",318
71,82,Technical Engineer,"Bengaluru, Karnataka, India",115
72,203,Service Advisor,"Lucknow, Uttar Pradesh, India",231
73,31,Civil Site Engineer,"Ahmadnagar, Maharashtra, India",282
74,92,Intern/Graduate hire,,2
75,163,Assistant,"Nagpur, Maharashtra, India",235
